Cinema;Run;Seats;Latitude;Longitude
Колизей ;1;1000;55.761781; 37.645941
Метрополь ;1;680;55.758448; 37.621669
Москва ;1;747;55.769494; 37.593533
Ударник ;1;1587;55.744450; 37.613072
Авангард ;1;489;55.731779; 37.611473
Аврора ;3;338;55.759157; 37.645708
Арс ;2;254;55.74806146601852; 37.58749976700312
Баррикады ;2;441;55.76064794396243; 37.579330860186516
Востоккино ;1;443;55.76037895000343; 37.61916289759364
Динамо ;1;553;55.79618060753062; 37.555168887144774
Диск ;3;216;55.809621; 37.634416
Заря ;3;261;55.745524; 37.626412
им. III Интернационала ;2;428;55.77323586956071; 37.67796359405088
Кадр ;3;314;55.744520;" 37.579277	"
Кинотеатр повторного фильма ;2;466;55.757288;" 37.599238	"
Луч ;2;401;55.791681890731304;" 37.68025349659428	"
Мир ;2;351;55.792343570876206; 37.60394035824865
Молот ;2;411;55.785928;" 37.675828	"
Наука и знание ;2;293;55.752414;" 37.599597	"
Новости дня ;;280;55.764289709486825; 37.60515729827925
Октябрь ;2;406;55.79929647698802;" 37.61501275297922	"
Орион ;1;707;55.795618;" 37.708499	"
Перекоп ;1;574;55.777151;" 37.638043	"
ПКиО Сокольники ;1;;55.792565; 37.677725
Родина ;1;1231;55.781570;" 37.717869	"
Сад им. Баумана ;2;500;55.766581; 37.659918
Сад Эрмитаж ;1;689;55.77080510877408; 37.60954337553044
Смена ;2;395;55.771020990551925;" 37.582989154099984	"
Спартак ;2;375;55.76354670647905; 37.6548476160702
Таганский ;1;819;55.74038353434052; 37.654197842457705
Таганский ПКиО ;2;602;55.73785783551522; 37.67003941340802
Театр киноактера ;1;924;55.756905640786755; 37.58698523028461
Уран ;1;910;55.77040452282041; 37.63155372711536
Форум ;1;1222;55.773058432602916; 37.62740330442969
Хроника ;;266;55.767124; 37.631820
Художественный ;1;960;55.752369; 37.602139
Центральный ;1;810;55.76592426048217;" 37.60529052843362	"
ЦПКиО им. Горького ;1;810;55.73154109054722; 37.60327706944183
Шторм ;1;638;55.78235111103543;" 37.67006121362364	"
Экран жизни ;1;548;55.77342398078649; 37.611662769437814
Экспресс ;2;230;55.77321250837942; 37.620671571295084
Юный зритель ;2;313;55.74853398105157;" 37.588827397745554	"
Колизей ;1;1000;55.761781; 37.645941
Метрополь ;1;680;55.758448; 37.621669
Ударник ;1;1587;55.744450; 37.613072
Авангард ;1;489;55.731779; 37.611473
Аврора ;3;338;55.759157; 37.645708
Арс ;2;254;55.74806146601852; 37.58749976700312
Баррикады ;2;441;55.76064794396243; 37.579330860186516
Динамо ;1;553;55.79618060753062; 37.555168887144774
Диск ;3;216;55.809621; 37.634416
Заря ;3;261;55.745524; 37.626412
им. III Интернационала ;2;428;55.77323586956071; 37.67796359405088
Кадр ;3;314;55.744520;" 37.579277	"
Кинотеатр повторного фильма ;2;466;55.757288;" 37.599238	"
Луч ;2;401;55.791681890731304;" 37.68025349659428	"
Мир ;2;351;55.792343570876206; 37.60394035824865
Молот ;2;411;55.785928;" 37.675828	"
Москва ;1;;55.769671725991564; 37.59471331716628
Наука и знание ;2;293;55.752414;" 37.599597	"
Новости дня ;;280;55.764289709486825; 37.60515729827925
Октябрь ;2;406;55.79929647698802;" 37.61501275297922	"
Орион ;1;707;55.795618;" 37.708499	"
Перекоп ;1;574;55.777151;" 37.638043	"
ПКиО Сокольники ;1;;55.792565; 37.677725
Родина ;1;1231;55.781570;" 37.717869	"
Сад Эрмитаж ;1;689;55.77080510877408; 37.60954337553044
Салют ;1;346;55.792065;" 37.575222	"
Смена ;2;395;55.771020990551925;" 37.582989154099984	"
Спартак ;2;375;55.76354670647905; 37.6548476160702
Стереокино ;;180;55.76037895000343; 37.61916289759364
Таганский ;1;819;55.74038353434052; 37.654197842457705
Таганский ПКиО ;2;602;55.73785783551522; 37.67003941340802
Театр киноактера ;1;924;55.756905640786755; 37.58698523028461
Уран ;1;910;55.77040452282041; 37.63155372711536
Форум ;1;1222;55.773058432602916; 37.62740330442969
Хроника ;;266;55.767124; 37.631820
Художественный ;1;960;55.752369; 37.602139
Центральный ;1;810;55.76592426048217;" 37.60529052843362	"
ЦПКиО им. Горького ;1;810;55.73154109054722; 37.60327706944183
Шторм ;1;638;55.78235111103543;" 37.67006121362364	"
Экран жизни ;1;548;55.77342398078649; 37.611662769437814
Экспресс ;2;230;55.77321250837942; 37.620671571295084
Эрмитаж ;1;658/36;55.77035848488775; 37.60921074307702
Юный зритель ;2;313;55.74853398105157;" 37.588827397745554	"
Колизей ;1;1001;55.761781; 37.645941
Метрополь ;1;692;55.758448; 37.621669
Ударник ;1;1587;55.744450; 37.613072
Авангард ;1;489;55.731779; 37.611473
Аврора ;3;338;55.759157; 37.645708
Аквариум ;2;600;55.76749154922368; 37.59480267864476
Арс ;2;254;55.74806146601852; 37.58749976700312
Баррикады ;2;441;55.76064794396243; 37.579330860186516
Дзержинский ПКиО ;2;500;55.83032412781143; 37.61469840946716
Динамо ;1;553;55.79618060753062; 37.555168887144774
Диск ;3;216;55.809621; 37.634416
Заря ;3;263;55.745524; 37.626412
Измайловский ПКиО имени Сталина ;2;815;55.77299499453838; 37.76126878218039
им. III Интернационала ;2;426;55.77323586956071; 37.67796359405088
